task_id,correct_flag
017c7c7b,0.02
025d127b,0.0
08ed6ac7,0.02
0dfd9992,0.19
1bfc4729,0.0
22eb0ac0,0.11
239be575,0.41
23b5c85d,0.16
25d8a9c8,0.04
25ff71a9,0.03
272f95fa,0.12
27a28665,0.06
3618c87e,0.0
3af2c5a8,0.04
3bd67248,0.0
3bdb4ada,0.01
44f52bb0,0.56
48d8fb45,0.0
496994bd,0.0
49d1d64f,0.1
539a4f51,0.01
53b68214,0.42
5582e5ca,0.53
5bd6f4ac,0.12
6150a2bd,0.01
62c24649,0.22
67a3c6ac,0.11
67e8384a,0.3
68b16354,0.76
6d0aefbc,0.3
6f8cd79b,0.01
6fa7a44f,0.95
7447852a,0.01
746b3537,0.6
74dd1130,0.0
7837ac64,0.0
794b24be,0.0
7b7f7511,0.41
7f4411dc,0.0
82819916,0.08
88a62173,0.0
8be77c9e,0.9
8e1813be,0.0
90c28cc7,0.08
9172f3a0,0.15
963e52fc,0.47
97999447,0.19
9dfd6313,0.05
a416b8f3,0.8
a65b410d,0.0
a699fb00,0.02
a85d4709,0.02
a87f7484,0.03
aabf363d,0.01
b1948b0a,0.77
b8cdaf2b,0.0
b94a9452,0.03
ba26e723,0.0
ba97ae07,0.07
bc1d5164,0.0
bd4472b8,0.18
bda2d7a6,0.25
bdad9b1f,0.0
c3f564a4,0.48
c59eb873,0.33
c8f0f002,0.81
c9e6f938,0.09
c9f8e694,0.23
d0f5fe59,0.0
d10ecb37,0.85
d13f3404,0.0
d2abd087,0.0
d4469b4b,0.48
d631b094,0.19
d8c310e9,0.06
d9fac9be,0.2
dc433765,0.0
e26a3af2,0.31
e9afcf9a,0.01
ea786f4a,0.0
ef135b50,0.03
f5b8619d,0.01
f76d97a5,0.2
