task_id,correct_flag
0dfd9992,100
3bdb4ada,100
c3f564a4,100
025d127b,100
dc433765,100
d9fac9be,100
f5b8619d,100
c9e6f938,100
b1948b0a,100
c59eb873,100
9dfd6313,100
ea786f4a,100
7837ac64,100
539a4f51,100
62c24649,100
ba26e723,100
963e52fc,100
d2abd087,100
aabf363d,100
f76d97a5,100
3618c87e,100
e26a3af2,100
53b68214,100
794b24be,100
d0f5fe59,100
6150a2bd,100
48d8fb45,100
25d8a9c8,100
017c7c7b,100
d4469b4b,100
a416b8f3,100
27a28665,100
6fa7a44f,100
9172f3a0,100
c8f0f002,100
d8c310e9,100
7b7f7511,100
d631b094,100
1bfc4729,100
a699fb00,100
3bd67248,100
67a3c6ac,100
8e1813be,100
ef135b50,100
08ed6ac7,100
5bd6f4ac,100
d10ecb37,100
bda2d7a6,100
67e8384a,100
8be77c9e,100
22eb0ac0,100
b8cdaf2b,100
44f52bb0,100
6d0aefbc,100
49d1d64f,100
496994bd,100
97999447,100
bc1d5164,100
c9f8e694,100
272f95fa,100
68b16354,100
d13f3404,100
ba97ae07,100
88a62173,100
90c28cc7,100
bd4472b8,100
746b3537,100
239be575,100
e9afcf9a,100
a85d4709,100
a87f7484,100
23b5c85d,100
3af2c5a8,100
7f4411dc,100
5582e5ca,100
7447852a,100
bdad9b1f,100
25ff71a9,100
74dd1130,100
b94a9452,100
a65b410d,100
6f8cd79b,100
82819916,100
