task_id,correct_flag
1f642eb9,0.0
06df4c85,0.0
00d62c1b,0.0
3af2c5a8,1.0
6aa20dc0,0.0
5c2c9af4,0.0
b775ac94,0.0
8e5a5113,0.0
1f0c79e5,0.0
d5d6de2d,0.0
1caeab9d,0.0
10fcaaa3,0.0
6cf79266,0.0
c8cbb738,0.0
6c434453,0.0
f5b8619d,0.4
363442ee,0.0
d9fac9be,0.6
c9f8e694,0.2
a61ba2ce,0.0
1a07d186,0.0
4c5c2cf0,0.0
90c28cc7,1.0
fafffa47,0.0
c8f0f002,1.0
178fcbfb,0.0
b9b7f026,0.0
73251a56,0.0
3c9b0459,0.0
2dee498d,0.0
44f52bb0,1.0
caa06a1f,0.0
a5f85a15,0.0
f35d900a,0.0
9565186b,0.0
29c11459,0.0
928ad970,0.0
f8ff0b80,0.0
228f6490,0.0
7fe24cdd,0.0
eb281b96,0.0
90f3ed37,0.0
0ca9ddb6,0.0
a8c38be5,0.0
6e02f1e3,0.0
b0c4d837,0.0
6d58a25d,0.0
780d0b14,0.0
53b68214,1.0
22eb0ac0,0.4
7468f01a,0.0
1fad071e,0.0
484b58aa,0.0
28bf18c6,0.0
eb5a1d5d,0.0
d22278a0,0.0
ed36ccf7,0.0
5bd6f4ac,1.0
746b3537,1.0
3f7978a0,0.0
bda2d7a6,1.0
a48eeaf7,0.0
963e52fc,1.0
0520fde7,0.0
7b7f7511,1.0
6455b5f5,0.0
e6721834,0.0
67a3c6ac,1.0
e5062a87,0.0
ba26e723,0.6
77fdfe62,0.0
6e19193c,0.0
868de0fa,0.0
3bdb4ada,1.0
0a938d79,0.0
c444b776,0.0
23b5c85d,0.8
dbc1a6ce,0.0
27a28665,1.0
36d67576,0.0
97a05b5b,0.0
c909285e,0.0
045e512c,0.0
855e0971,0.0
6773b310,0.0
272f95fa,1.0
f2829549,0.0
a8d7556c,0.0
dc433765,1.0
253bf280,0.0
08ed6ac7,1.0
b8825c91,0.0
a2fd1cf0,0.0
b782dc8a,0.0
662c240a,0.0
264363fd,0.0
4258a5f9,0.0
cce03e0d,0.0
0962bcdd,0.0
5168d44c,0.0
e9afcf9a,1.0
56dc2b01,0.0
a65b410d,0.2
3906de3d,0.0
beb8660c,0.0
22233c11,0.0
db93a21d,0.0
7df24a62,0.0
7837ac64,0.4
dc0a314f,0.0
ac0a08a4,0.0
22168020,0.0
94f9d214,0.0
3aa6fb7a,0.0
239be575,1.0
0d3d703e,0.0
7e0986d6,0.0
8efcae92,0.0
3de23699,0.0
2013d3e2,0.0
794b24be,1.0
a5313dff,0.0
ce22a75a,0.0
623ea044,0.0
f15e1fac,0.0
3428a4f5,0.0
72ca375d,0.0
feca6190,0.0
890034e9,0.0
aba27056,0.0
a3325580,0.0
a9f96cdd,0.0
3e980e27,0.0
d90796e8,0.0
47c1f68c,0.0
3befdf3e,0.0
b91ae062,0.0
d23f8c26,0.0
fcb5c309,0.0
a3df8b1e,0.0
48d8fb45,0.6
d06dbe63,0.0
97999447,1.0
4938f0c2,0.0
a61f2674,0.0
cdecee7f,0.0
b527c5c6,0.0
3ac3eb23,0.0
2dc579da,0.0
b6afb2da,0.0
46f33fce,0.0
6ecd11f4,0.0
f8c80d96,0.0
57aa92db,0.0
56ff96f3,0.0
d13f3404,1.0
4522001f,0.0
28e73c20,0.0
810b9b61,0.0
82819916,1.0
ddf7fa4f,0.0
7447852a,0.4
be94b721,0.0
543a7ed5,0.0
72322fa7,0.0
80af3007,0.0
ecdecbb3,0.0
5ad4f10b,0.0
d4469b4b,0.4
ba97ae07,0.6
b1948b0a,1.0
b230c067,0.0
40853293,0.0
d89b689b,0.0
46442a0e,0.0
9aec4887,0.0
673ef223,0.0
941d9a10,0.0
7f4411dc,0.4
c3f564a4,1.0
c0f76784,0.0
a85d4709,1.0
2204b7a8,0.0
007bbfb7,0.0
f9012d9b,0.0
8eb1be9a,0.0
0e206a2e,0.0
9dfd6313,1.0
db3e9e38,0.0
63613498,0.0
a740d043,0.0
98cf29f8,0.0
d511f180,0.0
d364b489,0.0
c1d99e64,0.0
2c608aff,0.0
bc1d5164,0.4
67a423a3,0.0
952a094c,0.0
1b60fb0c,0.0
39a8645d,0.0
025d127b,1.0
b8cdaf2b,0.2
4093f84a,0.0
496994bd,1.0
49d1d64f,1.0
8be77c9e,1.0
760b3cac,0.0
bd4472b8,1.0
ce602527,0.0
6d0160f0,0.0
fcc82909,0.0
a416b8f3,1.0
e8dc4411,0.0
dc1df850,0.0
6855a6e4,0.0
6e82a1ae,0.0
6d75e8bb,0.0
4290ef0e,0.0
44d8ac46,0.0
09629e4f,0.0
8731374e,0.0
1e0a9b12,0.0
1cf80156,0.0
88a10436,0.0
8403a5d5,0.0
0dfd9992,1.0
776ffc46,0.0
e509e548,0.0
4612dd53,0.0
508bd3b6,0.0
3bd67248,1.0
1f876c06,0.0
150deff5,0.0
e26a3af2,1.0
1e32b0e9,0.0
e8593010,0.0
ae4f1146,0.0
4c4377d9,0.0
e40b9e2f,0.0
e50d258f,0.0
694f12f3,0.0
25d8a9c8,1.0
42a50994,0.0
25d487eb,0.0
de1cd16c,0.0
7ddcd7ec,0.0
8a004b2b,0.0
f25fbde4,0.0
2bee17df,0.0
a64e4611,0.0
a87f7484,0.6
ae3edfdc,0.0
83302e8f,0.0
b548a754,0.0
9ecd008a,0.0
5c0a986e,0.0
5daaa586,0.0
60b61512,0.0
