task_id,correct_flag
017c7c7b,0.03
025d127b,0.0
08ed6ac7,0.02
0dfd9992,0.18
1bfc4729,0.02
22eb0ac0,0.1
239be575,0.42
23b5c85d,0.18
25d8a9c8,0.03
25ff71a9,0.05
272f95fa,0.15
27a28665,0.06
3618c87e,0.0
3af2c5a8,0.04
3bd67248,0.0
3bdb4ada,0.0
44f52bb0,0.56
48d8fb45,0.0
496994bd,0.0
49d1d64f,0.13
539a4f51,0.05
53b68214,0.42
5582e5ca,0.51
5bd6f4ac,0.13
6150a2bd,0.01
62c24649,0.22
67a3c6ac,0.11
67e8384a,0.34
68b16354,0.74
6d0aefbc,0.31
6f8cd79b,0.01
6fa7a44f,0.96
7447852a,0.0
746b3537,0.57
74dd1130,0.0
7837ac64,0.0
794b24be,0.0
7b7f7511,0.41
7f4411dc,0.0
82819916,0.09
88a62173,0.0
8be77c9e,0.9
8e1813be,0.0
90c28cc7,0.07
9172f3a0,0.21
963e52fc,0.48
97999447,0.17
9dfd6313,0.02
a416b8f3,0.81
a65b410d,0.0
a699fb00,0.02
a85d4709,0.02
a87f7484,0.05
aabf363d,0.01
b1948b0a,0.79
b8cdaf2b,0.0
b94a9452,0.02
ba26e723,0.0
ba97ae07,0.08
bc1d5164,0.01
bd4472b8,0.19
bda2d7a6,0.24
bdad9b1f,0.0
c3f564a4,0.51
c59eb873,0.29
c8f0f002,0.8
c9e6f938,0.06
c9f8e694,0.23
d0f5fe59,0.0
d10ecb37,0.87
d13f3404,0.0
d2abd087,0.0
d4469b4b,0.54
d631b094,0.21
d8c310e9,0.04
d9fac9be,0.18
dc433765,0.0
e26a3af2,0.26
e9afcf9a,0.01
ea786f4a,0.0
ef135b50,0.02
f5b8619d,0.01
f76d97a5,0.21
