task_id,correct_flag
017c7c7b,0.03
025d127b,0.0
08ed6ac7,0.02
0dfd9992,0.2
1bfc4729,0.01
22eb0ac0,0.1
239be575,0.4
23b5c85d,0.16
25d8a9c8,0.04
25ff71a9,0.09
272f95fa,0.12
27a28665,0.06
3618c87e,0.0
3af2c5a8,0.06
3bd67248,0.0
3bdb4ada,0.01
44f52bb0,0.47
48d8fb45,0.0
496994bd,0.0
49d1d64f,0.07
539a4f51,0.01
53b68214,0.33
5582e5ca,0.58
5bd6f4ac,0.12
6150a2bd,0.01
62c24649,0.26
67a3c6ac,0.12
67e8384a,0.3
68b16354,0.75
6d0aefbc,0.34
6f8cd79b,0.0
6fa7a44f,0.97
7447852a,0.0
746b3537,0.64
74dd1130,0.0
7837ac64,0.0
794b24be,0.0
7b7f7511,0.36
7f4411dc,0.0
82819916,0.08
88a62173,0.0
8be77c9e,0.9
8e1813be,0.0
90c28cc7,0.12
9172f3a0,0.22
963e52fc,0.58
97999447,0.26
9dfd6313,0.05
a416b8f3,0.81
a65b410d,0.0
a699fb00,0.03
a85d4709,0.0
a87f7484,0.04
aabf363d,0.03
b1948b0a,0.71
b8cdaf2b,0.0
b94a9452,0.02
ba26e723,0.0
ba97ae07,0.1
bc1d5164,0.01
bd4472b8,0.19
bda2d7a6,0.27
bdad9b1f,0.0
c3f564a4,0.54
c59eb873,0.34
c8f0f002,0.78
c9e6f938,0.06
c9f8e694,0.17
d0f5fe59,0.01
d10ecb37,0.66
d13f3404,0.0
d2abd087,0.02
d4469b4b,0.46
d631b094,0.26
d8c310e9,0.04
d9fac9be,0.25
dc433765,0.0
e26a3af2,0.29
e9afcf9a,0.01
ea786f4a,0.0
ef135b50,0.01
f5b8619d,0.03
f76d97a5,0.19
